id,name,double_damage_from,double_damage_to,half_damage_from,half_damage_to,no_damage_from,no_damage_to
1,normal,{fighting},{},{},"{rock,steel}",{ghost},{ghost}
2,fighting,"{flying,psychic,fairy}","{normal,rock,steel,ice,dark}","{rock,bug,dark}","{flying,poison,bug,psychic,fairy}",{},{ghost}
3,flying,"{rock,electric,ice}","{fighting,bug,grass}","{fighting,bug,grass}","{rock,steel,electric}",{ground},{}
4,poison,"{ground,psychic}","{grass,fairy}","{fighting,poison,bug,grass,fairy}","{poison,ground,rock,ghost}",{},{steel}
5,ground,"{water,grass,ice}","{poison,rock,steel,fire,electric}","{poison,rock}","{bug,grass}",{electric},{flying}
6,rock,"{fighting,ground,steel,water,grass}","{flying,bug,fire,ice}","{normal,flying,poison,fire}","{fighting,ground,steel}",{},{}
7,bug,"{flying,rock,fire}","{grass,psychic,dark}","{fighting,ground,grass}","{fighting,flying,poison,ghost,steel,fire,fairy}",{},{}
8,ghost,"{ghost,dark}","{ghost,psychic}","{poison,bug}",{dark},"{normal,fighting}",{normal}
9,steel,"{fighting,ground,fire}","{rock,ice,fairy}","{normal,flying,rock,bug,steel,grass,psychic,ice,dragon,fairy}","{steel,fire,water,electric}",{poison},{}
10,fire,"{ground,rock,water}","{bug,steel,grass,ice}","{bug,steel,fire,grass,ice,fairy}","{rock,fire,water,dragon}",{},{}
11,water,"{grass,electric}","{ground,rock,fire}","{steel,fire,water,ice}","{water,grass,dragon}",{},{}
12,grass,"{flying,poison,bug,fire,ice}","{ground,rock,water}","{ground,water,grass,electric}","{flying,poison,bug,steel,fire,grass,dragon}",{},{}
13,electric,{ground},"{flying,water}","{flying,steel,electric}","{grass,electric,dragon}",{},{ground}
14,psychic,"{bug,ghost,dark}","{fighting,poison}","{fighting,psychic}","{steel,psychic}",{},{dark}
15,ice,"{fighting,rock,steel,fire}","{flying,ground,grass,dragon}",{ice},"{steel,fire,water,ice}",{},{}
16,dragon,"{ice,dragon,fairy}",{dragon},"{fire,water,grass,electric}",{steel},{},{fairy}
17,dark,"{fighting,bug,fairy}","{ghost,psychic}","{ghost,dark}","{fighting,dark,fairy}",{psychic},{}
18,fairy,"{poison,steel}","{fighting,dragon,dark}","{fighting,bug,dark}","{poison,steel,fire}",{dragon},{}
19,unknown,{},{},{},{},{},{}
20,shadow,{},{},{},{},{},{}
